Conto : Lorem Ipsum Blah Blah;;;;;;;;;;;
Data estrazione : 27-7-2026 13:47:50;;;;;;;;;;;
;;;;;;;;;;;
Tutti i movimenti ordinati per Data Operazione;;;;;;;;;;;
Dal : 01-07-2022;;;;;;;;;;;
al : 27-07-2026;;;;;;;;;;;
;;;;;;;;;;;
Il file include i primi 3000 movimenti;;;;;;;;;;;
;;;;;;;;;;;
Data operazione;Data valuta;Tipo operazione;Ticker;Isin;Protocollo;Descrizione;Quantità;Importo euro;Importo Divisa;Divisa;Riferimento ordine
02-05-2025;06-05-2025;Acquisto;WGLD;JE00BN2CJ301;;WISDOMTREE CORE PHYSICAL GOLD;1;-284,36;0;EUR;
02-05-2025;06-05-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;4;-124,22;0;EUR;
02-05-2025;06-05-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;1;-31,93;0;EUR;
02-05-2025;06-05-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;2;-98,73;0;EUR;
02-05-2025;06-05-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;3;-145,89;0;EUR;
30-04-2025;02-05-2025;Prelievo bonifico;;;17629693;;0;-3955;0;EUR;
23-04-2025;25-04-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;11;-531,47;0;EUR;
23-04-2025;25-04-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;4;-474,16;0;EUR;
15-04-2025;17-04-2025;Acquisto;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;12;-955,44;0;EUR;
11-04-2025;11-04-2025;Conferimento con bonifico;;;17576965;;0;11310;0;EUR;
10-04-2025;31-03-2025;Bollo portafoglio titoli*;;;30190700;;0;-7,4;0;EUR;
27-03-2025;28-03-2025;Prelievo bonifico;;;17512707;;0;-24950;0;EUR;
26-03-2025;28-03-2025;Vendita;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;103;15011,41;0;EUR;
26-03-2025;28-03-2025;Vendita;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;68;9910,44;0;EUR;
26-03-2025;28-03-2025;Commissioni;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;0;-5;0;EUR;
26-03-2025;28-03-2025;Rit. etf;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;0;-34,58;0;EUR;
17-03-2025;19-03-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;44;-1385,34;0;EUR;
17-03-2025;19-03-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;3;-148,11;0;EUR;
17-03-2025;19-03-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;12;-396,24;0;EUR;
17-03-2025;19-03-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;3;-145,22;0;EUR;
11-03-2025;11-03-2025;Conferimento con bonifico;;;17467601;;0;2180;0;EUR;
03-03-2025;05-03-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;5;-246,15;0;EUR;
27-02-2025;03-03-2025;Vendita;CSEMU;IE00B53QG562;;ISHARESCOREMSCIEMU(ACC) UCITS;1;195,74;0;EUR;
27-02-2025;03-03-2025;Commissioni;CSEMU;IE00B53QG562;;ISHARESCOREMSCIEMU(ACC) UCITS;0;-0,81;0;EUR;
27-02-2025;03-03-2025;Rit. etf;CSEMU;IE00B53QG562;;ISHARESCOREMSCIEMU(ACC) UCITS;0;-4,05;0;EUR;
17-02-2025;19-02-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;4;-196,86;0;EUR;
17-02-2025;19-02-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;15;-761,85;0;EUR;
